OTU,Domain,Phylum,Class,Order,Family,Genus
DENOVO13688,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
DENOVO13689,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO13690,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
DENOVO13691,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
DENOVO13692,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
DENOVO13693,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,metagenome
DENOVO13694,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,uncultured
DENOVO13695,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium
DENOVO13696,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetitomaculum
DENOVO13697,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,metagenome
DENOVO13698,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-014
DENOVO13699,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella
DENOVO13700,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,uncultured,uncultured bacterium
DENOVO13701,Unclassified,,,,,
DENOVO13702,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1
DENOVO13703,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,vadinBE97,uncultured bacterium
DENOVO13704,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio 2
DENOVO13705,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,vadinBE97,
DENOVO13706,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII,Family XIII AD3011 group
DENOVO13707,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium 1
DENOVO13708,Unclassified,,,,,
DENOVO13709,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus 1
DENOVO13710,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,
DENOVO13711,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter
DENOVO13712,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maritimimonas
DENOVO13713,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Taeseokella
DENOVO13714,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,
DENOVO13715,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,uncultured
DENOVO13716,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,Calorithrix
DENOVO13717,Unclassified,,,,,
DENOVO13718,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Spongiibacter
DENOVO13719,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella
DENOVO13720,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,uncultured
DENOVO13721,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,Ambiguous_taxa,Ambiguous_taxa
DENOVO13722,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,uncultured,uncultured Bacteroidetes bacterium
